航天器,0,0,0.99,248
我主基督,0,0,1.99,173
不可儿戏,8.8,24,2.99,4400
武器与人,8.6,24,2.99,7124
咖啡店与裂缝,0,0,0,1140
探险家,0,0,2.99,1003
疯人一点点（英文原创幽默短剧）,0,0,0,497
弗雷德里克夫人,9.2,20,2.99,2806
玩偶之家,9.2,115,2.99,16487
温德米尔夫人的扇子,9.0,222,2.99,22587
萱箕,0,0,2.99,1796
理想丈夫,9.4,25,3.99,7253
我的秘密生活,6.8,16,0.99,1138
毒药【微电影剧本】,0,0,0,76
圣女贞德,9.0,44,3.99,8441
多特太太,9.0,40,2.99,8643
芭芭拉少校,8.6,28,3.99,7136
鱼仙,0,0,0.99,424
荣誉之人,0,0,2.99,1274
谍海狂澜,0,0,2.99,829
默默与粘粘,0,0,0.99,355
昨夜的双拥路,0,0,1.99,208
毒辣佳人,0,0,0,97
我的新娘是个兽医,0,0,1.99,92
乐游原，明年的这个时候,0,0,1.99,302
暗房,0,0,0.99,406
红胡子遇到野蛮人,0,0,0,28
决战前夜,8.6,18,1.99,2252
白马之音,0,0,0,192
杰克•斯特劳,0,0,2.99,2661
归期,6.8,14,0,4346
