故垒西边,8.2,31,4.99,9291
漫话宋朝,9.0,50,3.99,9776
山河破碎,0,0,3.99,1978
舛命奇情查理王【中】,0,0,0.00,1041
只有清香似旧时,9.0,44,0,584431
神隐春秋,8.8,44,0,192856
明出地上,0,0,0.00,778
殇公主与铁面人,0,0,0.00,2479
血腥爱情故事,7.8,128,0,9095
月娥,8.8,362,0,18337
天然声,8.6,62,4.99,7043
特务,8.0,44,1.99,1827
太液芙蓉,9.0,29,1.99,2579
深他妈的情啊,8.4,524,0.00,48082
恶土,8.6,592,1.99,48305
不一样的玄武门,0,0,1.99,454
少年崇祯,0,0,0.00,18
盗之道,9.0,91,0.99,7605
舛命奇情查理王【下】,0,0,3.99,858
舛命奇情查理王【上】,8.0,12,0.00,3541
山河故人,7.8,20,0,18651
1911年的枪,0,0,1.99,129
长安英雄传 Ⅰ,0,0,0.00,3118
小丑,7.4,21,1.99,881
吴侬软语,7.8,14,0,28157
莫如初,8.6,25,1.99,1429
云裳月容传,8.6,28,3.99,6901
小人物,8.2,245,0,11479
金墉城（第一部）,0,0,5.99,825
大会馆,9.8,40,2.99,3897
围城,8.0,21,0,287391
徒然计,8.2,149,1.99,11671
酉州打庙记,9.0,23,1.99,4045
太监独白,0,0,1.99,541
幽人往事,7.6,19,1.99,1025
契丹,0,0,1.99,202
出罗马记（二）,0,0,0,1707
水城弟兄,7.8,43,1.99,3541
出罗马记（一）,7.6,20,0,2547
骑背上的风与寒光,8.0,13,2.99,1782
北狩记（鸟部）,7.6,11,4.99,4153
武汉老街传奇,0,0,2.99,1874
碧海,7.8,20,1.99,1257
我是刺客,0,0,1.99,768
帝国的崛起·第一卷,0,0,4.99,1613
青州平乱,0,0,1.99,495
蓝烟记,7.0,34,1.99,1193
出走的家族,8.0,22,1.99,905
另一半故事·贰,0,0,1.99,724
响马时代,0,0,1.99,1045
生死东吴,0,0,0.99,882
归去来兮,7.2,26,1.99,1442
潞河驿,0,0,6.99,311
我的南唐,0,0,0.50,0.50,2360
南唐美后,7.6,63,0,508717
伏兔,0,0,1.99,508
孔子私人学校,0,0,1.99,742
野史笑翻天,0,0,1.99,1156
暴雨青竹,0,0,1.99,456
南海之子,7.6,15,4.99,2713
老树,0,0,1.99,1409
傀儡戏,0,0,1.99,913
长安谣,0,0,1.99,214
星象王,0,0,2.99,591
大明秘事之建文遗踪,0,0,0,58
癌战,7.2,32,0,222847
夜阑静花未眠,8.8,131,0,42241
六旗风云录（下册）,7.4,21,0,3295
沙赫静达,0,0,1.99,550
神之翼,8.4,20,1.99,1955
钓鱼城,8.0,13,1.99,1164
1910 入侵英伦,0,0,5.99,435
白塔寻印记,8.2,68,1.99,6918
风沙莽莽（2）,0,0,0,71
历史中的大人物，小人物,0,0,0,665
双子男袁崇焕的明末历险,0,0,1.99,864
遗忠录,8.6,16,2.99,3500
空灯,7.6,18,1.99,1250
沂州笔记,0,0,1.99,230
素花,9.6,30,1.99,1320
唐朝往事,0,0,1.99,426
深藏在玉林,0,0,0.99,145
风沙莽莽第一部,0,0,3.99,1697
查无此城,7.8,15,1.99,1398
怪胎版三国演义（上册）,0,0,0,1134
捕风,8.2,83,1.99,4715
伊本·阿拉丁的第九个知名者,0,0,3.99,261
电闪雷鸣,0,0,1.99,523
体香恋,0,0,0,1348
穿越之颜顷,7.4,14,0,20706
成皋神探,0,0,0.99,198
烈士安吉的过去,0,0,5.99,362
三唐五代演义,7.4,15,0,73056
玄奘,0,0,0.99,694
新郑,7.4,11,1.99,839
四哥和他的小伙伴们,7.8,19,1.99,1223
烟尘生,8.0,23,1.99,867
众星动神 卷二,0,0,1.99,209
战争动物,0,0,2.99,500
出罗马记（三）,0,0,0,1080
杜氏铜芸,7.0,22,1.99,1130
枪口下的选择,0,0,0,11808
融雪,0,0,1.99,106
消失的郭财神,0,0,0,231
粟特王朝浮沉录,8.2,12,0,2126
喀尔喀乌鸦,7.0,35,1.99,2862
复兴楼的老板,7.4,70,0,5277
荷影剑魂,0,0,0,1126
听听古文大白话系列---儒林外史,0,0,0,5
扬州孤儿,7.8,30,1.99,3504
南北朝风雷（1）,8.0,13,2.99,4723
布衣宰相,7.6,37,1.99,2083
天子党,7.8,73,0,32400
东周君王传,0,0,0,131
故土,0,0,0,7
鹿人,0,0,0.99,288
只恨相逢未嫁时,7.0,22,3.99,3525
世无英雄,0,0,0,135
秀才造反之我是词人,0,0,1.99,185
曹雪芹家族传奇,0,0,9.99,709
潜龙勿用,7.2,12,1.99,971
浏阳镇,0,0,0,38
万水楼,0,0,1.99,120
牺牲,0,0,1.99,323
野史笑翻天Ⅱ,0,0,1.99,1191
鹡鸰脊念珠,6.8,19,0,3387
保定屠夫,0,0,1.99,288
布松寺,8.0,15,1.99,633
伏生的忧虑,0,0,0,629
二月,8.4,474,1.99,25739
云锦计,0,0,0.99,74
铜城旧事,0,0,3.99,3770
战国无双,7.0,11,1.99,635
玉歌声,0,0,1.99,303
白玉,0,0,1.99,299
玉溪拼图,0,0,1.99,1182
归来兮,0,0,0,4746
阿思阑传奇,0,0,1.99,892
雪地上的蚂蚁,0,0,1.99,252
六旗风云录（上册）,7.4,25,0,8382
南柯年华,0,0,0,4338
永不回头,0,0,5.99,942
左柱国,7.2,12,0,1605
1935,0,0,0.99,595
1998年的洪水,0,0,1.99,515
失传已久的城,0,0,0,4456
春芽,0,0,1.99,172
南北朝风雷（2）,0,0,2.99,309
死于河畔,0,0,5.99,1026
花荣正传（下）,0,0,1.99,347
仓颉造字,8.6,15,1.99,1574
战国之夺位记,7.2,24,1.99,1314
4.99,792711697680674674670677679678
龙珠奇缘,0,0,1.99,88
不觉长安梦,0,0,0,2206
长安路,0,0,1.99,161
吴侬软语,6.4,15,3.99,7065
绝情三言,0,0,1.99,188
暗淡了刀光剑影,0,0,1.99,81
拭古集,0,0,0,15
孽海记,0,0,0,2005
天可汗：唐太宗李世民,0,0,0,522
大成实录,0,0,0,78
楚世无双,0,0,0,43
大明风月,0,0,0,2129
粗糙的往事,0,0,0,26
泛希腊三国演义,0,0,0,2466
借书人,6.6,50,1.99,3666
金墉城,0,0,0,3449
戏说春秋郑庄公,0,0,0,68
浊世野录,7.4,17,0,3931
三逾墙,0,0,0,128
武则天真传①,0,0,0,500
窥伺,0,0,1.99,119
大金帝国小叙,0,0,0,193
山人手帐*甲集,0,0,0,557
半山传,0,0,0,1749
鬼怪奇异,0,0,0,188
民国旧事--红梅韵,0,0,0,75272
楚汉纪事,0,0,0,408
莽牯岭,0,0,0,5577
吴起,0,0,0,1364
寂寞李固,0,0,1.99,45
青木匣,7.4,12,1.99,354
逝水东流,0,0,0,311
花荣正传（上）,0,0,1.99,901
魂萦旧梦,0,0,0,164
桓楚旧事,0,0,0,310
陈家大屋,0,0,2.99,2188
男人婆穿越记,0,0,0,6997
4.99,142917473655962664741
政归司马氏,6.6,11,0.99,763
大明风月（二）,0,0,0,1010
龙椅,0,0,1.99,118
历史红颜——原来你是这样的故事女人,0,0,0,1804
妙恋家丁,0,0,0,61
风起青萍,0,0,0,30
张太虚的历史,0,0,0,48
相思局,0,0,0,184
楚望,0,0,1.99,482
大唐海外行经记,0,0,0,579
蒋介石的一生,0,0,0,34
大司马,0,0,0,17
进击的猛士,0,0,0,170
狂狼乌力微,0,0,1.99,197
辽东风云三部曲,0,0,0,98
潮汐不再来,0,0,0,4323
狂,0,0,0,72
方壶园,0,0,0,3327
天地不仁,0,0,0,1176
坠楼之恋——石崇与绿珠,0,0,0,21
秋水映鸿,0,0,0,4531
鱼缸,0,0,0,33
九歌,0,0,1.99,118
《乌龙闹官场之官混》,0,0,0,842
倾月班,0,0,0,5380
闽国扬帆去,0,0,0,164
土地,0,0,0,66
雷素尔独立的故事,0,0,0,21
梅妃穿越记,0,0,0,178
村庄,0,0,0,96
足球编年史,0,0,0,1810
扬雄,0,0,0,215
封神演义之我见,0,0,0,69
《乌龙闹官场之官混》,0,0,0,842
方壶园,0,0,0,3327
天地不仁,0,0,0,1176
秋水映鸿,0,0,0,4531
盛世烟云,0,0,0,5665
汉献王传奇,0,0,0,669
蜀辈,0,0,0,1654
倾月班,0,0,0,5380
闽国扬帆去,0,0,0,164
滴血的甘露,0,0,0,224
无处潜伏,0,0,1.99,97
