试管医生手记：八细胞的承诺,9.6,64,0,48406
理短情长,0,0,0,8444
8090离婚记,9.2,50,0,78657
失业33天,8.0,808,0.00,141438
平凡的移民生活,9.4,25,0,40875
相濡以沫,9.8,52,0.00,20184
一个朋友,8.8,170,0.00,43983
花园街,0,0,0.00,2233
优质末等生,8.4,17,0,33956
美国职场宫心计,8.8,99,3.99,17943
急诊室伤痕女神,8.6,976,1.99,168457
单身在线（特别修订版）,9.6,596,4.99,217981
超五星体验,9.4,256,0,1629648
空港：云霄路上,9.4,312,0,3607836
老公孩子一起养,9.8,24,0,27462
在巅峰上高潮,7.6,25,0.00,8008
流沙,0,0,0.00,377
金融街没有爱情,8.2,2865,1.99,439329
美国职场宫心计--番外篇,9.4,35,1.99,2240
六姊妹,9.6,286,0,4312814
女帅,8.6,1230,1.99,103931
空港,8.6,3748,1.99,454772
大龄处女有什么问题,8.2,989,1.99,135531
天乌乌,8.2,18,0.00,4735
鼓浪屿,0,0,0.00,2781
手臂糖,8.4,73,1.99,15141
泸沽湖之夜,8.2,2014,0,135938
向爱而生,9.2,101,3.99,39068
这单车还有幸福可借,8.8,456,1.99,56973
新闻将在秋日死去,8.8,623,1.99,65039
涉外助理,8.8,588,5.99,271103
安全期,8.2,1754,1.99,160774
急诊室伤痕女神：生命之光,9.2,125,3.99,31053
潮汐预报,8.6,83,1.99,12328
香港备胎,8.2,178,0,260881
单身在线,9.0,1304,4.99,554355
开除,8.6,199,1.99,20136
我和我的佛系老公,9.2,353,0,596088
的战记,9.0,136,0,521397
海阔天空（完整版）,9.0,246,5.99,95539
不如归,8.4,44,1.99,6882
小飞侠,8.6,1725,1.99,173536
妇产科女医生,8.2,1730,1.99,182852
一丝不挂,8.0,947,1.99,116765
贤媛,0,0,0,244
活在美国：步步为陷,0,0,0,2610
女房产经纪,8.6,314,1.99,34634
治孤,9.0,1874,1.99,215795
如果影子会说话,8.6,236,1.99,17562
关于结婚的一场倒叙,8.4,40,1.99,8240
头像本人（增订版）,0,0,0.00,79
斯嘉丽小姐,8.6,167,0,1263505
鹅小姐的培训指南,8.2,414,1.99,58930
朝阳门,8.8,27,4.99,9812
朋友圈,8.8,349,2.99,79959
剩斗士徐蔓,8.4,92,4.99,29409
花朵之舞,9.8,42,0,69597
海阔天空,8.6,413,1.99,52348
水落鱼梁浅,8.0,487,1.99,37286
斑马你爱不爱我,8.8,644,1.99,37061
最好的时代,7.8,12,0,7598
三美图,0,0,1.99,1766
消逝,8.0,252,1.99,17693
零下四十七度,0,0,0,778
四月海,7.4,487,1.99,43123
离职大师,6.8,341,1.99,15777
黑梦,8.4,364,4.99,133485
你好，再见,7.6,1284,0.00,149043
角色,8.0,509,1.99,37335
我尚未到达的地方,8.0,882,1.99,78106
情迷博弈,7.4,11,1.99,2026
抬棺人,7.4,389,1.99,12885
补心,8.6,64,2.99,11233
鄙视链,8.2,235,1.99,20334
太阳底下,7.6,628,1.99,31510
母爱,8.0,28,1.99,2361
悲伤故事的美好结局,7.4,79,1.99,2744
女教师秘史,0,0,1.99,788
暗夜旅行,0,0,0.00,239
公关小姐,6.8,867,1.99,61800
小记者大江湖,7.8,26,4.99,3442
非||常道,9.0,38,1.99,4806
空巢青年,7.6,568,1.99,29813
战无不胜的祝小姐,7.8,1678,1.99,138590
流莲,9.2,157,7.99,61554
