神游曲（修订版）,8.2,12,0.00,6002
西域古事记,0,0,0.00,671
九秋午后,8.6,165,0.99,17819
远绝,9.2,98,0.00,12387
装人鱼的透明袋子,7.8,20,1.99,5211
俱乐部故事,8.6,81,0.00,14059
失常,8.0,70,1.99,7823
不小心在餐厅吞下了一朵云之后,7.6,15,2.99,3090
银河铁道之夜,8.6,247,1.99,20721
魔法器材店,8.8,207,0,19400
归墟,8.6,581,0,20784
世界边境，消失之河,0,0,0.00,667
白影夜行,9.2,111,0.00,36179
脑王争霸赛,0,0,1.99,1637
神怪故事集,6.8,1069,0,27774
不过神仙和没事妖怪,8.8,372,0,425060
宇宙生存指南,8.0,28,0.99,2300
日本神话全录（修订版）,7.8,149,0.99,18442
反西游记,8.0,399,6.99,83748
调色盘,0,0,0.00,408
太阳,0,0,0.00,165
中亚故事集,9.0,40,3.99,6577
街泳,7.2,99,1.99,4140
百万年僵尸,8.8,121,3.99,8771
西游前传,7.6,117,4.99,89652
雨月物语（全译本）,8.6,43,2.99,9639
游女抄,8.6,15,0.00,1976
流萤·求药,9.6,45,0.99,0.99,4101
天池水怪之谜,7.0,16,1.99,4647
撒尔安达残卷,8.6,33,1.99,2835
血树,0,0,0.00,507
紫霞仙子,9.2,31,0.00,6522
嫁金蚕,8.6,218,1.99,25627
野天鹅,9.6,58,0,556871
后山怪物,8.0,71,1.99,11579
绮谭录,0,0,0,54
奇肱国,7.8,85,1.99,7729
暗夜行,7.6,29,1.99,1518
武汉巫婆,7.6,244,1.99,28242
江湖,7.6,154,1.99,10301
超能力商店,9.2,83,0,38993
蛆虫之王,8.2,51,1.99,3071
平凡生活中的奇异事件,6.6,46,0,17761
黑色脑力波,8.4,103,1.99,8747
七次回眸,8.8,59,1.99,8186
兵狼挽歌,9.2,33,1.99,1831
杀死天使的第三种方法,7.0,128,1.99,4764
猎河童记,8.0,273,1.99,15436
都市人形兽·绘传-四个连作短篇,6.8,27,1.99,2954
末日动物园,7.8,166,1.99,10068
仿佛若有光,8.2,21,0.00,2027
遗嘱执行人,8.2,140,1.99,7380
猫饭奇妙物语,9.2,252,0,633265
疾女册,9.0,984,0,44871
琵琶行,9.4,84,0,18262
登月记,7.6,12,1.99,1155
七娃,7.4,179,0,8171
无聊实验,7.0,49,0.00,5199
天海,7.6,37,1.99,4839
碳,7.4,97,1.99,20309
没有节操集,9.2,52,2.99,6602
东柯僧院的春天,8.0,217,0,3908
O——消失的拥有者,7.8,39,0.00,1415
繁花集,9.0,22,0,2213
丹青怪谈,0,0,0.00,424
梦记,8.6,39,0.00,2059
魂兮归来,8.8,84,1.99,9528
鸟人,8.6,18,1.99,1537
翠狐,8.6,1624,1.99,112800
一群斑马跑过了杏花桥,7.2,44,0.00,1071
植物人,8.6,24,1.99,2580
冰,0,0,0,103
纵火者,6.8,98,1.99,8404
九州·阮郎归,7.4,26,0.99,1656
日本妖怪奇谈,0,0,0,760
猫,0,0,0.00,1162
过去只有黑伞,8.8,35,0,2693
火雷原上，羽烈昭武,6.2,21,1.99,2104
我和我的独角兽,7.0,13,1.99,850
海潮三十年·双瞳,0,0,1.99,817
往生诀,8.2,13,0,206938
猫饭奇妙物语 2,9.2,191,0,146460
影子游戏,7.8,69,1.99,1558
记梦学会,0,0,0.00,767
食忆妖,8.2,18,1.99,1288
游日本记,7.4,33,1.99,3000
另一个世界,7.6,22,1.99,1.99,5964
放逐之眼,0,0,1.99,454
遛噢噢,7.6,55,0.99,1936
捉梦,8.0,73,1.99,3855
归墟,8.6,89,0,245399
欢乐故事集（第一卷）,7.0,13,1.99,2292
8.6,22,435027073078253710058321017
君子归梦,0,0,0,5
北风不胡南风胡,8.2,74,1.99,3655
七桥会,8.8,31,1.99,4223
去往永生之河的旅人们,9.4,44,1.99,2917
陇西行,7.8,25,1.99,2519
梁甫吟,6.6,45,0.00,5813
约拿与僵尸,8.2,111,1.99,13394
灵戒故事·一,0,0,0.00,1013
金城生事代办科,6.8,78,0.00,1520
会仙记,7.8,13,4.99,1652
男朋友典当行,7.0,107,1.99,10187
写一百个故事就可以不孤独地长大,9.4,64,0,1221976
月落半山行,8.4,36,0.00,15035
隔离寝室与放肆少女,7.2,52,1.99,11911
车缝线之神,6.6,116,1.99,3398
你也总是在场,6.2,24,0.00,2418
幸运之神的日常,7.4,42,1.99,3492
词穷游戏美术部,7.8,82,1.99,4616
无端儿,7.6,434,0,8668
妖都故事集,7.2,21,1.99,2180
斗而廊,0,0,1.99,516
