飞蛾之刃,9.0,1199,0.00,232437
不速之客,9.0,446,2.99,60528
罪恶的枷锁 Ⅱ,9.0,288,0.00,32080
阳光洒肩头,9.6,231,0.00,45653
儒隐 之 敦煌密码,9.0,49,0,25319
废城：蜂击,0,0,0.00,861
麦克白效应（修订版）,9.0,52,0.00,29816
无妄之灾,9.0,512,3.99,137130
罪恶的枷锁 Ⅲ,9.4,277,0.00,49584
春树秋霜,9.2,60,3.99,12503
双水村往事,7.4,15,0.00,952
雾云山杀人事件,7.4,25,0.00,5602
盲村,9.2,392,3.99,56361
罪恶的枷锁 Ⅰ,8.8,324,2.99,58013
罗宋探案：僵尸,8.8,330,0.00,37164
古董珍珑劫,9.4,42,0,81225
再见恩格斯,9.2,377,1.99,23087
杀人连环计：一场惊世骇俗的谋杀,9.2,607,0,1598112
江湖探案系列之：金狮镖局案,8.6,32,0.00,4079
匿影者,8.6,47,0.00,14078
窥,8.2,222,1.99,34081
雪人幻想,9.0,228,2.99,30648
罗宋探案：疯猫,9.0,421,1.99,41725
白色玉兰花,9.0,420,0.00,122701
心意相通,8.8,224,3.99,68684
第十三天（上）,9.2,4084,0,340869
我脑海中的她,0,0,0.00,708
禁酒令,7.8,17,0,11099
婊儿子,10.0,39,0,179811
慈恩寺谜案,8.2,19,0.00,2258
谜踪记,8.0,94,0.98,0.98,6683
离奇的失踪,8.2,18,0.00,1922
末路狂花,8.6,617,3.99,175586
古籍残案之我是文物修复师（完整版）,0,0,0.00,6369
蛾变,8.6,133,0.00,33351
血鸟谜案,7.6,19,0,5937
关东志怪,8.6,381,4.99,194813
神秘岭（完整版）,9.2,796,4.99,4.99,341809
走向大海,0,0,0.00,598
梁家兴教授探案集,9.2,386,0,1131374
夜色无边,7.8,193,0.00,8472
黑暗的n次方,8.6,285,2.99,62825
第十三天（下）,9.2,2517,2.99,102415
第十三天（中）,9.0,1976,2.99,139461
蓝带儿,8.6,22,1.99,1569
107国道连环杀手,9.2,252,1.99,33008
黑河杀手,8.2,494,1.99,53923
黑暗的平方,8.6,331,2.99,54552
楼上的声音,8.4,1081,1.99,93397
被偷走的人生,9.0,119,4.99,37856
至少还有你,9.4,198,0,1555041
镜子,8.8,26,3.99,5204
黑暗的立方,9.0,257,2.99,54961
罗宋探案：谜尸（修订版）,8.6,542,1.99,87833
流萤·卜问,9.2,167,1.99,1.99,25453
博尔赫斯探案Ⅲ：丹麦王子之谜,7.4,21,0.00,2185
鲤鱼与壁虎,8.6,175,3.99,34201
暖气,8.2,1543,4.99,506780
一窟鬼,8.8,802,1.99,105250
罗宋探案：白月光,8.8,459,1.99,103037
被迫回忆,8.2,62,0.00,11094
恶魔之窖,8.4,307,1.99,22618
锡箔纸（上）,8.4,45,0.99,0.99,11218
南天门外没神仙,6.8,12,0.06,0.06,1651
奉天范城隍,0,0,0,7991
暴风雪夜的独行者,8.0,77,0.00,17501
齐谐今语,9.8,91,0,1061145
锦衣卫传奇,8.2,100,0,30143
我，嫌疑犯,8.4,672,0.00,115341
无尽使命,8.6,18,1.99,2407
无限恐怖,7.4,87,0,126722
南疆异闻录,0,0,0,2013
锡箔纸（中）,0,0,0.99,0.99,1885
情热,9.0,112,2.99,23657
乞丐和妓女,8.6,673,1.99,90178
我因羞怯而杀人,8.6,481,1.99,87779
校园枪击案策划指南,8.8,3100,1.99,176087
孤岛模式,7.6,36,0.00,2839
八生门,6.2,29,2.99,2327
遗产,9.0,314,7.99,60187
马戏团命案,0,0,0.00,1154
杀戮游戏 / 开往地狱的天堂号,9.0,40,0,193227
没有虫子的房间,9.0,96,1.99,7747
杀人犬（特别修订版）,8.6,71,3.99,15047
斧头男,8.6,26,3.99,5835
失落的兰若寺,5.0,25,1.99,3502
荒野时间和其他故事,8.6,50,1.99,4736
写作课,7.6,249,1.99,25019
寂静的冬日,7.6,189,1.99,10615
鲁迅遗嘱,8.6,198,4.99,98633
想做宠物的女人,7.0,32,0.00,2949
不可能的正义,7.6,558,1.99,50603
心之刑,7.6,40,1.99,8093
桐花落尽,0,0,0,193
镇痛记,7.6,504,1.99,87809
刺杀警察局长,7.2,44,0.00,2093
古镇笔记,7.2,23,1.99,2783
无限恐怖（二）,8.8,44,0,71660
周公馆疑案,7.8,18,0.00,7218
无限恐怖,7.4,95,2.99,2.99,27372
神秘岭（二）,9.4,119,2.99,14645
9号侦查馆,8.0,22,4.99,12121
上钩,8.0,277,1.99,15546
沧浪,8.8,36,0.00,5263
沼中之鱼,9.2,72,1.99,11224
骗子,8.2,364,1.99,52269
圆圈（中英双语）,7.8,348,0,26898
无限恐怖（二）,7.2,20,2.99,2.99,1558
龙楼镇,8.0,48,5.99,8800
无妆,7.4,31,0.00,5103
