黑暗的n次方,8.6,285,2.99,62826
雪人幻想,9.0,228,2.99,30648
江湖探案系列之：金狮镖局案,8.6,32,0.00,4080
神秘岭（完整版）,9.2,796,4.99,4.99,341810
禁酒令,7.8,17,0,11100
黑暗的平方,8.6,331,2.99,54552
冷雨,8.6,1229,4.99,289449
杀人连环计：一场惊世骇俗的谋杀,9.2,608,0,1598144
血鸟谜案,7.6,19,0,5951
罪恶的枷锁 Ⅰ,8.8,324,2.99,58015
罪恶的枷锁 Ⅱ,9.0,288,0.00,32081
雾云山杀人事件,7.4,25,0.00,5605
飞蛾之刃,9.0,1200,0.00,232439
八大金刚,8.6,109,0.00,26408
儒隐 之 敦煌密码,9.0,49,0,25349
罪恶的枷锁 Ⅲ,9.4,279,0.00,49585
梁家兴教授探案集,9.2,386,0,1131388
匿影者,8.6,47,0.00,14082
避役之夏,8.8,351,0.99,0.99,59287
死亡同学会,8.4,301,3.99,85346
杀死一只X兽,8.2,197,3.99,52792
傅满洲博士的秘密,7.2,19,5.99,8216
杀人犬（特别修订版）,8.6,71,3.99,15047
无限恐怖,7.4,87,0,126725
梁家兴教授探案集（修订版）,8.2,56,5.99,14621
追捕,8.6,135,2.99,13180
翡翠经手人,0,0,0,706
被迫回忆,8.2,62,0.00,11099
南疆异闻录,0,0,0,2013
换头人,7.8,316,2.99,23629
十·戒,8.0,103,0.99,0.99,11100
打错的电话,6.8,91,1.99,3101
末灯抄,7.2,128,1.99,6723
夜幕漩涡,8.4,407,1.99,62863
鹌鹑,8.6,246,5.99,104325
黑暗的立方,9.0,257,2.99,54961
健身房之夜,9.0,59,0.00,18237
致命乐章,7.8,35,1.99,3643
八生门,6.2,29,2.99,2327
遗产,9.0,314,7.99,60187
左小姐辞职去探案,7.8,22,0.00,6639
周公馆疑案,7.8,18,0.00,7218
傅满洲博士的魔爪,0,0,5.99,1188
刑,7.6,163,1.99,11294
杀戮游戏 / 开往地狱的天堂号,9.0,40,0,193227
不嚷蝉,7.4,55,1.99,2146
洋娃娃的复仇,7.4,254,0.00,8198
博尔赫斯探案：西班牙玫瑰之谜,7.8,365,1.99,26883
傅满洲博士归来,0,0,5.99,1802
血雨村诅咒杀人事件,7.8,42,4.99,13328
绿萝案,7.6,152,1.99,10134
千岛谋杀,8.8,45,0,57788
9号侦查馆,8.0,22,4.99,12121
猎头人,8.4,92,3.99,11309
无名镇,8.2,96,1.99,9428
夜半枪声,0,0,0.00,2615
心之刑,7.6,40,1.99,8093
死亡字条之谜,7.0,17,1.99,933
神秘岭（一）,9.2,150,2.99,25493
失眠者,9.2,134,0,263153
神秘岭（二）,9.4,119,2.99,14645
地藏,6.8,378,0,7980
圣诞老人是小偷,7.0,36,0,6296
巨鼎山杀人事件,8.6,170,0,160969
知更鸟之死,7.4,217,1.99,13042
完美犯罪系列·迷局,0,0,0,13757
杀人犬,8.4,177,0,262854
我是伏妖师,0,0,0,459
《国家之子》：基石协议,8.2,14,0,2957
边城疑云,8.8,118,0,196494
杀手陷阱,0,0,0,1671
约定,8.8,135,4.99,12047
神秘岭（三）,9.4,141,2.99,12405
双子屋犯罪,8.6,92,0,50849
深夜电台——一些悬疑惊悚灵异的小故事,7.0,15,0,8381
里德先生的聪明才智,0,0,1.99,762
庞德的悖论,7.6,11,2.99,2029
双面魔杀人传说,8.6,110,0,90715
刑警双枪,0,0,0,48617
真实故事改编计划——斧与锤（商河杀人案）,0,0,0,397
双生花,7.4,27,4.99,15124
螺旋函数杀人事件,0,0,1.99,220
寿宴盗宝案,8.4,61,0.99,5857
动物村的凶杀案,7.6,82,1.99,11640
时小雨,7.8,32,4.99,14631
西巴斯贝之恋,7.0,59,0,6821
漂来的厄运,8.0,369,0,15560
蒙太奇：埃德蒙顿的雨,7.4,36,1.99,1268
猎罪者,0,0,1.99,633
沉默的三色堇,7.2,12,1.99,643
蒙太奇：斯德哥尔摩之光,8.0,291,2.99,77257
林川悬疑档案之猫冢,0,0,0,350
无法证明,8.0,42,1.99,3979
D侦探社,6.8,16,3.99,4105
作家之死,8.0,90,1.99,2392
蓝眼睛疑案,0,0,0.00,380
美丽的弗兰肯斯坦,7.4,49,0.99,2325
网球集训杀人事件,7.0,19,1.99,2648
黑夜之后,7.2,13,1.99,1461
啦啦啦啦,0,0,0,22
中国药方 Un remedio chino,0,0,0,1971
你的名字,0,0,0,4032
爱的灰,0,0,1.99,1223
点评本福尔摩斯探案集精选,7.4,17,2.99,3622
藏锋,0,0,1.99,162
暗雨,0,0,1.99,1307
卡西莫多的眼泪,7.0,12,1.99,1593
楚门计划,7.8,184,1.99,13205
渔人游戏,0,0,2.99,1556
红色竹叶,6.0,58,1.99,932
6.99,7054433983933793923702336613
致命婚礼,8.8,20,0,33589
壁虎玄机,7.0,11,3.99,6063
虚构者的谋杀,7.2,147,0,8260
死亡同学会,0,0,0,8085
螳螂手臂的蝉,7.6,11,0.99,322
套层迷局,7.4,825,4.99,255790
寂静之地,7.2,223,1.99,16582
蒙太奇：京都之雾,8.0,205,2.99,41470
永眠羔羊,0,0,1.99,697
第四类凶手,0,0,0,145
凶宅笔记,7.6,15,2.99,4291
不存在的绑匪,7.0,31,1.99,1852
原始部落的谜团,0,0,2.99,88
甲壳虫,0,0,0,4704
双黄蛋,0,0,1.99,234
南方以南,7.4,17,3.99,1891
皮囊之下,0,0,0,10362
皮格马利翁之死,6.4,53,1.99,2082
螺的愁哀,0,0,1.99,610
唤醒,8.0,127,3.99,50923
奉城往事,6.0,44,1.99,3162
密室杀手游戏,0,0,1.99,507
谜案追凶,0,0,0.10,0.10,279
马丁·休伊特探案集之红三角,0,0,5.99,988
江州往事,7.4,281,1.99,8523
女明星的讣告,8.8,36,1.99,1423
林川悬疑档案之戏梦,0,0,0,2898
马丁·休伊特探案集之历代记,0,0,5.99,141
断偶,7.6,13,1.99,1041
重生之谜,0,0,1.99,494
死亡准备,0,0,0,47
弑命恩人,8.2,42,1.99,2962
噬善之塔,7.2,12,1.99,559
蒙太奇：库斯科城邦,7.8,24,1.99,1570
学术工厂,6.0,127,1.99,3157
西厢记,0,0,1.99,659
悬浮,7.2,13,1.99,1335
偷画贼,7.4,12,1.99,594
推理小说家的绝境,7.2,89,1.99,7175
母性基因,6.0,94,0.49,0.49,3491
带我去塔尔塔罗斯,0,0,1.99,317
啐你一口,0,0,3.99,131
银行大劫案,0,0,0.99,165
十三月志异,7.6,28,1.99,1033
正午十二点钟的枪击案,0,0,1.99,440
希腊复仇女神疑案,6.6,37,0.99,3016
生活百态《X档案》,0,0,0,194
阿斯莫德结界,0,0,0,5
燕子堂上,6.2,85,1.99,2454
第六感,0,0,2.99,173
眼翎寒光耀冰雪,0,0,0,4
骨刺成品稿,0,0,0,406
青春之钟,0,0,1.99,1196
飞鸟断翅,7.6,17,1.99,668
名侦探,0,0,1.99,134
天眼,6.6,16,2.99,2029
想你，在樱树盛开的季节,0,0,1.99,447
摇篮,6.8,115,1.99,5346
黑客帝国杀人案,7.6,42,1.99,3783
纸牌游戏,0,0,1.99,228
抽子,0,0,1.99,246
莫呼洛迦之殇,0,0,0.99,188
去地狱玩好吗？,8.0,186,1.99,15016
失衡,0,0,0,4043
最后的和最初的夏天,7.4,66,1.99,2347
你听,0,0,2.99,943
考验智商的1001个思维游戏,0,0,0,394
甄小姐的图书馆奇遇,0,0,1.99,528
不给糖就捣蛋,7.2,155,1.99,3203
移魂计,0,0,0,13875
秘密,0,0,1.99,226
一分钟破案·推理游戏,6.8,12,0,20181
不野岛的证人,0,0,0,472
逝音,0,0,0,680
竹山村杀人案,0,0,0,3857
潜伏,0,0,0,76
死因荒谬,0,0,0,17
萧郎误,0,0,0,27
剑吼西风,0,0,0,468
江湖探案系列之：金狮镖局案,0,0,0,853
山岭诡秘,0,0,0,1230
黑色魔方 I 脑洞故事集,0,0,0,73
我的朋友是私家侦探,0,0,0,3
向心探案日记,0,0,0,32
乐园,0,0,0,3001
命案与爱情,0,0,0,7570
花惑,0,0,1.99,155
消失的遗产继承人,0,0,1.99,265
白桦镇连续杀人事件,0,0,0,1676
神经大盗,0,0,0.99,172
身份,0,0,0,1315
马丁·休伊特探案集之冒险史,0,0,5.99,56
杀人现场请勿偷窥,7.0,15,1.99,1620
龙杀人事件,5.6,42,1.99,2130
登记,7.0,113,1.99,3791
马丁·休伊特探案集,0,0,5.99,486
星雪,0,0,3.99,789
地铁里的救赎,0,0,3.99,262
青鲤,0,0,1.99,198
蒙太奇：土库曼斯坦之夜,8.4,43,1.99,2850
无罪的凶手,0,0,1.99,345
黑暗中的时间指针,0,0,2.99,1530
双生,0,0,1.99,144
7.2,35,2.99,3406211219851928198418941881188518931877
The Fool 1 / 2,5.0,105,1.99,3248
狗咬狗,7.0,122,1.99,9343
空山宁静,0,0,1.99,231
春天欺骗,0,0,1.99,756
穴居,7.2,19,1.99,973
十二生肖杀人事件,0,0,1.99,695
妈妈是个人物,6.8,29,1.99,725
影子杀手,0,0,1.99,1414
蒙太奇：索契的雪,7.6,40,1.99,1103
杀死你爸爸,5.4,21,1.99,2214
天堂,0,0,0.99,105
绑架巧克力,7.6,132,0,30122
图纸谜案,7.6,14,0.99,675
局,0,0,1.99,538
人生戏剧家,7.6,18,4.99,2163
谁是陈雪松,6.6,14,1.99,1170
雾锁霾城,8.0,12,2.99,4946
知己犯,0,0,1.99,151
呛椒干探,5.8,14,3.99,4377
追踪委托人,0,0,0,60
十二年,6.8,16,1.99,996
影子杀手,0,0,1.99,423
金号迷案,6.4,93,1.99,2248
末日忧伤,6.8,77,1.99,2207
天堂寨,0,0,4.99,1191
数字杀人游戏,0,0,1.99,823
让我告诉你,0,0,0,192
消失的罪名,0,0,1.99,77
死囚的等待,0,0,1.99,704
少年的虞渊,0,0,3.99,2674
最后只好躺下来,0,0,0,281
蒙太奇：乞力马扎罗日出,8.2,46,1.99,2501
血之告白,7.4,23,1.99,1606
晨昏线,0,0,0,191
完美计划性复仇,0,0,1.99,179
狼人传说,0,0,1.99,868
警官木一（第一部）,6.4,54,1.99,2036
雨幕杀机,6.0,56,1.99,1196
狗咬狗（修订版）,0,0,1.99,821
身穿燕尾服的小偷,0,0,1.99,145
心间的恋人,0,0,1.99,277
彩虹人,0,0,1.99,324
人民复印资料,0,0,0,120
茫,0,0,0,50
暗火,0,0,0,45
黑色童话,0,0,0,212
临时审讯室,0,0,0,965
天黑请闭眼,0,0,0,43
狗猫鼠游戏,0,0,0,91
丙戌年七月半,0,0,0,45
竖立的硬币,7.0,48,1.99,3428
蓐女之潜,0,0,0,460
山鬼晚灯记之海上生明月,0,0,0,1647
亡名渡,0,0,0,755
无用侦探社,0,0,0,26
记忆谜城,0,0,0,6537
我那，有点波澜壮阔的日常,0,0,0,14
漂浮的世间,0,0,0,601
黑梦手记,0,0,0,6849
D侦探社,0,0,0,101
沧海月未明,0,0,0,11115
谁把江山万里：那些房市中的男女,0,0,0,22
夜幕下的黎明,0,0,0,2864
微妙世界,0,0,0,35
毗遮舍鬼杀人事件,0,0,0,69
火光,0,0,0,37
老宅秘史,0,0,0,2316
2.00,5435328589456
抓住火焰,7.6,142,1.99,11347
黑夜行,0,0,0,1848
拂月流风,0,0,0,63
当我凝视深渊,0,0,0,188
证明,0,0,0,23
不要回家,0,0,0,17
食道美肉,0,0,0,35
2.00,1511148172756864717071
死者的推理,0,0,0,696
陶笛,0,0,0,1637
纯粹隐私,0,0,0,36
索菲娅,0,0,0,40
鬼湖迷影,0,0,0,31
记忆偏差,0,0,0,96
内心的底片世界,0,0,0,31
滁州案,0,0,0,325
2099事件簿,0,0,0,17
重生,0,0,0,48
生死城,0,0,0,26
王文故事集,0,0,0,109
罪案谜踪前传：校园贩毒案,7.4,15,0,1013
换脸,0,0,0,21
吾妻之夫,7.6,11,0,2150
可怜人,0,0,0,999
十日,0,0,0,882
双曲线,0,0,1.99,132
神探唐雀古,0,0,0,4278
彷徨,0,0,0,1149
接吻爱好者和杀猪的人,8.0,19,5.99,1200
顽童,0,0,0,71
十年有期,0,0,0,270
《喵与弓形虫》,0,0,0,25
美女主持的死亡密咒,0,0,3.99,267
绳智以法,0,0,0,169
3.33,1841078360383518141310
毕业前,0,0,0,3933
《未知属性的记忆》,0,0,0,1160
可怜人,0,0,0,999
十日,0,0,0,882
《未知属性的记忆》,0,0,0,1160
彷徨,0,0,0,1149
顽童,0,0,0,71
业余侦探的现代文学理论,0,0,0,22
《喵与弓形虫》,0,0,0,25
十年有期,0,0,0,270
绳智以法,0,0,0,169
毕业前,0,0,0,3933
月光,0,0,0,70
避水之鱼,0,0,0,2007
红色头绳,0,0,0,87
业余侦探的现代文学理论,0,0,0,22
福茉思与华笙,0,0,0,176
解谜者之误判,0,0,0,114
骨瓷,0,0,0,4
我欲为谁,0,0,0,714
少年侦探启示录,0,0,0,6542
谋杀菲尔先生,6.8,13,0.99,1225
孤岛长城杀人事件,0,0,0,1865
金教授的米粉屋,7.4,16,0,5555
玻璃会说话,0,0,0,12
青岚与我,0,0,0,65
弈子明的悬聊集,0,0,0,32
我变成了谁,0,0,0,1921
和氏璧暗码,0,0,0,76
杀人回忆之无尽杀戮,0,0,0,329
造物者的梦语,0,0,0,9
夜行者,0,0,0,188
我欲为谁,0,0,0,714
狼人猎手安德森,0,0,0,51
少年侦探启示录,0,0,0,6542
谋杀菲尔先生,6.8,13,0.99,1225
夜笙歌,0,0,0,18
九死一杀,0,0,0,161
入殓师,0,0,0,69
杀人回忆之无尽杀戮,0,0,0,329
弈子明的悬聊集,0,0,0,32
我变成了谁,0,0,0,1921
和氏璧暗码,0,0,0,76
青岚与我,0,0,0,65
造物者的梦语,0,0,0,9
夜行者,0,0,0,188
金教授的米粉屋,7.4,16,0,5555
拯救柳然,0,0,0,138
夜笙歌,0,0,0,18
摧毁星期二,0,0,0,9206
九死一杀,0,0,0,161
入殓师,0,0,0,69
代码惊魂,0,0,0,422
入藏,0,0,0,5
《碰触》,0,0,0,17
被愚弄的人,0,0,0,364
沉香佛和杀手,0,0,0.99,65
拯救柳然,0,0,0,138
我要死在江沪时代,0,0,0,961
K的死亡事件,0,0,0,213
小黑鲸的二十七个幻想故事,0,0,0,110
吴警官系列,0,0,0,45
选择性失格,0,0,0,288
听梦人说书,0,0,0,27
失踪的长途电话,0,0,0,15
恋上剧中人,0,0,0,183
风水师与侦探,0,0,0,842
守护,0,0,0,89
haha,0,0,0,67
金田一同人推理小说,0,0,0,77
纵火犯之谜,0,0,1.99,297
沙漏啊,0,0,0,487
西游记杀人事件,0,0,0,13
年关年关,0,0,0,800
平行线下的救赎,0,0,0,822
唯圣人通其道,0,0,0,2
法医唐亮,0,0,0,25
相声杀人事件,0,0,0,2193
消失和再现,0,0,0,397
杀人者自白,0,0,1.99,327
思想劫难,0,0,0,9
