惹人思议（INCREDIBLE INDIA）,0,0,0.00,231
治疗思乡病的偏方,8.2,34,0,5186
我家沙发借你睡,9.6,36,0,17556
穿越大洋遇见你,8.8,216,3.99,100405
一个地方，一世情长,7.2,12,0.99,1012
咖啡杯里的金阁寺,8.8,392,1.99,29107
纽约倒影,8.4,453,1.99,33820
久违的事：俄罗斯笔记,7.8,171,2.99,12636
旅行故事,8.6,862,1.99,63917
高棉的微笑：吴哥传奇,8.0,27,4.99,10373
岛峰手记,8.6,32,1.99,2322
去澳洲，去流浪,8.2,116,0.99,7781
一直走直到我遇见你,9.2,873,0,3316933
辰,8.4,36,1.99,1991
新藏行记,9.2,64,3.99,8931
厄峰之旅,0,0,2.99,910
所谓青春，浪费一年又何妨,9.2,614,2.99,103284
纽伦堡之旅,8.6,70,1.99,6382
无边光景一时新,0,0,0.00,898
巴黎谈吃,0,0,0,15944
穿越七千公里的旅程,7.8,38,1.99,3480
他们的国，他们的民,0,0,0,3644
未寄信,8.4,21,1.99,1199
探险家要的是世界的心脏,0,0,1.99,1092
奔向那一片微笑,8.2,35,0.99,2687
一期一会的日本之旅,8.8,58,0,3886
日耳曼草木浮生,7.6,58,1.99,4629
因为这世界 我只来一次,0,0,1.99,2138
左手伊朗，右手波斯,8.4,114,1.99,5721
漫行阿根廷,0,0,4.99,1660
失业之旅,8.2,240,1.99,17547
在美国逛博物馆,8.2,20,0,46460
佛罗伦萨十二天十一夜,6.2,62,0.99,3877
8.0,123,2.99,23892201822041519284605749174715477045864768
不逍遥的海岛,8.0,18,2.99,1515
澳式翠恋客,0,0,0.99,785
瑞士建筑回忆,7.4,324,0,13180
浮生轻迈,8.6,22,1.99,1719
撒野非洲,0,0,3.99,1258
火烈鸟与火烧云,7.8,25,4.99,3792
于娇娇的澳洲打工旅行,0,0,0,236
白天看庙晚上睡觉,9.2,60,0,41320
不可思议的印度,7.6,442,0,26757
山野碎片集,8.2,13,1.99,1674
奔向那一片沙漠,8.0,17,1.99,3400
印加人的遗迹,0,0,0,130
浮光碎影意大利,8.8,120,1.99,21741
凝望中东,9.0,61,4.99,7980
我在英国做花园,0,0,0,396
墨脱（下部）,8.6,7.0,76,177,1.99,4490
路过你的城市（二）,0,0,1.99,303
信马游疆,0,0,1.99,989
沸腾京都,9.0,34,0,27120
一生一次,7.4,23,8.60,5650
寻味记,0,0,0,716
从中目黑到代官山：东京品质,7.6,35,0,2083
纽约，永不落幕,8.2,64,1.99,4853
去世界的尽头思考人生,7.0,65,0.99,6576
漫步在应许之地,7.6,19,0.00,2479
失业之旅,8.2,8.0,167,294,1.99,15156
暹罗的温度（上）,7.2,35,1.99,2311
远·见,7.6,17,2.99,3501
吃饱了撑的,9.6,24,0,11035
