对窗,7.8,813,1.99,41983
梦冬,9.0,734,1.99,92103
失婚记,8.8,74,4.99,18889
理想国,7.0,201,1.99,13661
北美伤痕文学集,0,0,0,59
小妇人（下部 · 大结局）,0,0,0.00,232
龋齿、iPhone与丢失事件,7.6,11,1.99,1130
金小姐的夏日旅行,7.2,46,0.99,4921
搭伙,8.8,49,1.99,6207
破茧,8.2,162,1.99,20031
无人关注,0,0,0.99,0.99,421
小妇人（上部 · 完结卷）,0,0,2.99,1047
谢谢你的海,7.8,166,1.99,14279
信仰,8.4,101,0.99,6294
小妇人（下部 · 第二卷）,0,0,3.99,276
小妇人（下部 · 第一卷）,0,0,2.99,493
颤抖的叶子,9.2,69,5.99,19822
暗夜蔷薇,8.4,55,0.99,4620
友情,8.4,225,0.99,10242
Fix 定点,0,0,0,4925
小妇人（上部 · 第二卷）,0,0,3.99,859
美人痣,0,0,1.99,170
在纽约,8.4,74,1.99,9254
选择,7.6,181,0,3201
三文鱼之味,0,0,0.99,922
坏榜样,8.0,136,1.99,10973
阿拉莫,0,0,4.99,1595
薄幸街,9.0,44,1.99,4432
柏林恋人,7.6,173,1.99,24147
黛西,8.4,41,1.99,3762
吴维的世界,8.0,33,0.99,2682
圈,9.0,19,2.99,3074
芝城故事,7.8,260,1.99,13785
告别植物迷宫,0,0,1.99,1362
小妇人（上部 · 第一卷）,0,0,2.99,893
雪女,8.8,40,1.99,3161
主妇琳达·肖,7.8,50,1.99,4084
茉莉,7.4,21,1.99,1034
好运气,7.2,18,2.99,853
沙巴之恋,0,0,2.99,560
遇见,0,0,1.99,651
嫉妒与妄想,0,0,1.99,640
在皮卡迪利,0,0,1.99,559
1.99,3742242512192071831872263239
一只狗的秋天,7.4,12,1.99,1456
一杯咖啡，路过纽约,7.2,45,1.99,1787
霞飞纽约,0,0,1.99,371
美山塔,0,0,1.99,59
维也纳变奏曲,7.4,29,9.99,20549
开航,7.4,247,1.99,15640
蝶恋花•情殇,6.8,22,0.99,956
一个好故事,0,0,1.99,212
一个怀疑论者,0,0,1.99,448
法界,6.2,106,1.99,2899
咫尺,0,0,0,22
情迷德黑兰,0,0,1.99,866
无比荼蘼,0,0,1.99,1294
怨恨女人的人,0,0,4.99,128
鱼缸城市,7.2,57,0,4596
欧洲式拆迁,0,0,0,1308
黑手党夫人的委托（一）,7.4,14,0,1381
纽带鞋和系扣鞋,0,0,0,13
美国西部的铁血情仇,0,0,1.99,347
天堂的通行证,0,0,0.99,373
NICE TO MEET YOU,0,0,0,3906
和德国小鲜肉同居的日子,0,0,0,3544
如何窥探你，我的巴黎,0,0,0,48
留洋回忆录,0,0,0,71
江口和蕙,6.6,15,1.99,1017
曼哈顿的甲店,0,0,4.99,747
白石恋人,0,0,0,10
雷·马西莫,7.4,17,1.99,681
归途有期,8.6,28,1.99,3075
31颗白兔糖,0,0,1.99,268
客居纽约,0,0,0,976
埋藏,0,0,1.99,167
水煮鱼游不过大西洋,0,0,0,136
各色,0,0,0,4154
世界尽头的岛,0,0,1.99,1212
我的北非,0,0,0,77
360芝加哥——在美国胡思乱想的故事,0,0,0,70
莉丝与特德,0,0,1.99,450
6.99,286224211206188188171157249158
西雅图不孤单,0,0,0,2330
我在欧洲遇见的年轻人,7.6,19,1.99,943
微笑属于卢旺达,0,0,0,17567
84张老照片,0,0,0.99,413
墙花集,8.2,44,0,28825
似酒流年,0,0,0,891
塞拉达,0,0,0,601
7.4,36,4.99,551214181155142139136137123115
绿茵,0,0,0,152
夜莺岛,0,0,0,149
城市英雄,0,0,0,25
