狭窄的天空,7.6,34,5.99,4487
时间之间,7.4,79,0.00,11652
线粒城,0,0,0.00,1731
劫后余生,9.6,23,3.99,6463
追逐太阳的男人,9.0,2030,1.99,123205
公鸡王子,8.6,371,1.99,35390
活着,7.4,193,0.00,6468
天空之海,8.8,96,0.00,12014
庄子的梦,8.2,265,0,15462
刍狗,8.4,309,1.99,18648
完美入侵,8.2,498,0.00,29336
夸父Ⅰ：混沌危机（上）,0,0,0.00,919
量子猎犬,8.2,27,0.00,1906
弱水之殇,9.6,21,0.00,3178
宛转环,8.6,213,1.99,13227
当昔日之光陨落,9.2,317,3.99,35426
万米之下,8.6,99,0.00,10224
天堂的阶梯,9.0,51,4.99,15520
蝶幻,8.2,20,0.00,4826
干预者,8.2,322,1.99,12960
精神采样,7.8,39,1.99,2931
你无法抵达的时间,7.2,618,0,21741
春天的奥德赛,8.2,117,1.99,7596
关于地球的那些往事,6.4,115,1.99,7631
我，斐星人,7.4,76,1.99,7320
未来病史（全九章）,8.0,278,0,9479
完美女友,5.0,161,0.00,4273
哈扎尔之匙,7.8,483,1.99,24766
那疯狂又愚蠢的爱,9.0,71,1.99,9166
寻仙记 第一卷：大风起兮,0,0,0,1867
自由日,8.4,914,1.99,57536
科幻方舟第004期,7.8,15,0,9021
我看到了外星飞船,8.4,418,1.99,35792
何以为言,0,0,0,2373
天堂的阶梯,6.8,161,1.99,6852
宇宙尽头的眼睛,8.0,309,0,31340
豆瓣阅读科幻月刊001,8.4,36,0,11752
侵略者计划,8.8,48,0.00,3050
黑云,0,0,3.99,787
界限：半机械人,7.6,53,0.00,4736
金瓶梅乐园,7.0,245,1.99,19583
桶盖侠和熨衣魔,8.2,124,2.99,7482
科幻方舟第006期,0,0,0,9674
泪潮,7.8,1014,1.99,58259
星与天元,7.6,27,1.99,615
沉睡的米蕾,7.0,16,0.99,0.99,1391
你无法证明Ⅰ,8.8,83,0,14782
万兽之树,8.0,150,1.99,6344
野兽拳击,8.2,651,1.99,36510
光昼前传,0,0,0.01,0.01,576
未来世界,6.0,84,1.99,28180
我的高考,7.8,470,1.99,24424
欧瑞伽的幽灵,0,0,0.99,0.99,1643
影子与六便士,7.2,169,1.99,6300
玻璃幕墙,8.4,56,0.99,13861
空间围棋,7.4,100,1.99,4129
复制时代的艺术作品,7.8,67,1.99,4377
豆瓣阅读科幻月刊002,8.2,41,0,22490
冬蛰,7.0,92,1.99,2408
地球迁移,7.4,17,0.00,1131
人性的未来,8.2,121,1.99,7956
Liar Bomb——说谎就爆炸的世界,7.2,238,1.99,16994
前往黑暗之地,7.8,240,1.99,7221
最后的龙,7.4,34,0.00,3350
师兄的透镜,8.0,44,1.99,1642
乐园,8.4,143,1.99,5324
量矩,0,0,0.00,10
亘古守卫者,0,0,0.99,0.99,955
反对者,8.2,322,1.99,52991
星海传奇,8.4,41,1.00,2622
穴居进化史,8.4,26,1.99,1088
