正解：从写作文到写作,8.8,67,0,351119
摄影与Photoshop,9.6,87,0,41510
跳槽使用手册,8.8,190,0,246502
英语笔译圣经,0,0,0,5892
南下打工记,9.0,313,5.99,38322
创业杂记,9.6,35,0,18969
金融市场之群魔乱舞,9.6,39,0,9401
诊余集,8.0,67,0.99,5412
白事会,9.0,6269,1.99,305972
凡人皆有一死,9.4,2185,1.99,102416
从零开始学 Python,7.2,33,9.90,28112
职场，你懂的,8.8,93,0,153112
三天学会写歌,7.0,238,0.99,62556
职场辩证法,9.6,58,0,240534
你可能不知道的金融知识,8.8,223,0,189272
一课经济学,8.6,432,0,108667
文艺青年如何赚稿费,8.8,351,0,456588
译海无边,9.2,57,0,41291
硅爱小札,9.4,65,0,114034
迷踪写作教室：从零开始写小说,9.6,108,0,126844
妇产科的故事,9.6,660,0,1400400
你不知道的餐饮那些事,7.8,1032,1.99,53192
世界之外,9.4,44,0,46113
房·地·产：写在安家的途中,8.6,73,1.99,7410
慢成长,8.6,114,0,602326
算法能力,0,0,0,401
被封杀的青春,7.2,22,3.99,5168
总要懂些SEO,8.4,77,1.99,8879
还是职场那些事儿,8.8,57,0,57623
图解和声 基础篇,0,0,5.99,2308
Google 三年,0,0,0,8051
一小时让你学会利用“关系”找工作,0,0,1.99,541
日本企业的兴衰,8.6,39,0,20093
顺心：职场情商激活码,8.8,31,0,19362
带勺子的鸡汤,9.2,38,0,311457
白事会：第二季,9.2,1286,0,337256
8.6,201,1.99,171621605615875157941581448404627461246074623
病人虐我千百遍，我待病人如初恋,7.4,121,1.99,10578
月薪三千的你,8.8,616,0,1527804
池中垢尘,0,0,2.99,404
Entertainment in English ,6.6,19,0,16624
外贸还有这些活儿,0,0,0,9
从菜鸟到达人,8.8,75,0,26479
我的海员生活,5.6,278,1.99,7627
最好的时代,8.4,109,0,156892
园林的艺术,0,0,0,124
实习生的蜕变,8.6,752,1.99,60538
编剧人生路,9.8,30,0,8146
编剧的语法,8.8,62,0,17694
巴马科的日与夜,8.2,407,1.99,22266
PS学习教材（基础篇）,0,0,0,27
恶魔的视界,8.8,159,7.00,36775
编辑是一种病,7.6,19,3.99,2666
坐在大棚晒太阳,0,0,0,304
期货操盘手基本修养,6.4,44,2.99,6685
一个文艺青年在富士康,7.4,67,1.99,4319
甜蜜蜜,8.8,582,1.99,16467
9.0,59,1.00,3039304826773310931799719711705806
麻醉手记,8.4,24,0,4984
职场老鸟炼成记,0,0,0,12139
传媒专业留学小指南,7.4,12,0,3373
北方，南方,8.2,819,1.99,31622
我的矿工生涯,7.6,308,1.99,12972
酒店那些事,8.0,25,0,8301
媒体的自我修养,0,0,0,1787
屌丝是如何逆袭的？,0,0,0,11178
码字,0,0,0,6088
大白讲金融,0,0,0,3278
就是要做广告,9.0,54,0,41577
零渡股权,0,0,0,13
怎样成为思维导图高手,0,0,0,322
我在央企的日子,8.2,48,0.99,3697
云时代的商业模式,0,0,0,8358
非学霸的考研指南,7.8,25,0,28323
大佬与大话,8.4,117,0,6456
《学会提问》拆书系列-把知识转化成技能,7.2,71,0,2664
网课运营与推广,0,0,0,76
史律师公司法第一季,0,0,0,12
不牛逼创业者笔记,7.4,26,0,28385
张小白求职记,0,0,0,20
8.8,45,9.90,1005591108886853884158261821282277990801
南下打工记·第一部,8.2,133,1.99,8259
证券事务代表（证代）养成手册,0,0,0,582
关于公务员的一切,7.6,26,0,36440
16471503140418021410014014449110
有一种公务员长这样,7.8,50,0,61493
图解和声 进阶篇,0,0,0,3660
在北京学汉语的老外们,8.4,66,1.99,4397
实体店营销案例秘籍,0,0,0,2837
我们离义工旅行有多远,8.6,49,0,19874
就是要任性地活,8.8,31,2.99,4964
催眠、放松和心理治疗,7.4,13,1.99,5602
记录我的职业生涯：贷款人的那些事儿,0,0,0,50
我是怎样开书店的,8.2,27,0,16952
创建一个属于自己的书库,0,0,0,249
北京·十年,0,0,0,541
9.2,32,669762985823917771469307282271359
蛋糕师傅,7.2,22,1.99,2224
明式家具研习录2,0,0,0,22
初中教学记事,7.8,14,0,77387
和上司共舞,8.2,23,0,12216
一个医生的恐惧,7.6,298,1.99,11068
《从一文不名到财务自由》第一卷（连载）,0,0,0,437
SAT干货分享,0,0,0,41
平面设计提升方法与实践,0,0,0,809
微营销之入门基础篇,0,0,1.99,3367
我做业务，你做什么？ ,7.0,433,1.99,22737
早安，救助站,7.6,14,1.99,902
7.2,11,6.99,5816515451544964132210961147110610611044
中国农村改革（对话）,0,0,0,58
来自猎头的我,8.0,42,0,46999
我是写手,7.4,16,0,35950
南下打工记·第三部,9.2,24,1.99,1319
行动派,8.4,27,0,20432
8.4,89,1.99,106935647499244811928103266577710861007
8.0,12,0.99,15822006182617501761173416511716712624
静静看着这个世界,8.2,40,0,28416
7.8,28,8.99,16861007993271224109494159702650147607278
大外企小前台,7.4,571,1.99,41582
工人与赞美诗,7.6,14,1.99,965
S小姐营销讲堂,7.2,36,0,263258
求职胜经30条,6.6,25,2.99,2400
书商心中有首诗,0,0,0,814
思维导图观点集,0,0,0,70
小大夫,8.2,56,1.99,3098
画廊梦游记,8.4,361,1.99,14651
永远狙击强势股,0,0,0,219
创业，一条不归路,0,0,0,1126
零成本网络创业赚钱,7.8,17,0,2065
7.0,13,1.90,5468435639491075872841817799766905
从〇到一，摸透IPFS,0,0,0,52
恶魔的视界 II,9.4,56,2.99,5235
由浅入浅认识资产证券化,0,0,0,62
卑微而艰辛的人生,0,0,0,71826
用戴明博士的十四要点让您的企业转型,0,0,1.99,452
出版成瘾,0,0,0,43874
拥有属于自己的赚钱机器,0,0,0,78
心理应激与孤独症,0,0,0,19
粉沫碎笔,0,0,0,8032
7.2,16,3.99,501041904070603602548591542512561
城市运营商,8.4,724,1.99,31979
巴菲特投资兵法,0,0,1.99,616
C + JSON,0,0,2.99,3246
医者人心,8.0,527,1.99,14709
触摸中医的边缘,0,0,0,4137
迷失的乡村,0,0,1.99,443
处方营养素,0,0,0,18
归来不见山,7.8,464,1.99,15359
我爱电台的日子,7.4,14,1.99,1445
南下打工记·第四部,0,0,1.99,547
8.0,90,2.99,9978955395529023878483781830176413211251
暴走大地产,8.2,24,0,89584
水浒集团人力资源管理,8.0,20,4.99,5157
巴马科的日与夜 Ⅱ,8.2,35,1.99,2213
那两年，我们义无反顾,7.2,14,1.99,636
人在江湖,0,0,0.99,545
城市化观察,0,0,0,40
1890146314163392151511099110577
英语学习真相：打破常规 ,8.0,78,16.99,20892
宝石迷,9.0,66,0,73845
创业之道：写给当代商界的年轻武士们,0,0,9.99,650
苹果记事簿,7.4,268,1.99,5288
收银夜的遐想,0,0,1.99,482
我走过的那些弯路，你们就不要走了,0,0,0,9876
我的老婆是花房姑娘,8.4,48,0,68430
我们的存在就是奇迹 ,8.8,112,0,9085
夕阳的胶片,0,0,1.99,364
人精修炼教程,8.2,38,1.99,3857
去TMD跟团游,8.2,117,0,213231
天平座咖啡馆,7.6,11,0,7008
假如电影欺骗了你,6.2,71,1.99,4043
Contexts for Creative Writing,0,0,6.99,1861
南下打工记·第二部,8.8,38,1.99,1772
就业通论,0,0,1.99,441
北京生活·家,0,0,0,9875
诶呀我趣,7.6,662,1.99,24363
测试之道,0,0,19.90,9329
视频直播行业观察,0,0,0,515
高脚杯下的光影,0,0,0,5163
