山青卷白云：女翻译与王维,9.6,87,0,255929
明明喜欢你Ⅱ【前传】,9.0,32,0.00,4250
万物为谁春,9.6,154,0,207916
结伴而逃,0,0,0.00,4502
月光谣,9.2,16,0,39729
烟雨平生,7.4,16,0.00,2565
硅谷爱情故事,8.8,1273,0,9732654
我是一颗流星,0,0,0.00,291
你心底有花开,9.0,343,2.99,40121
少年，我爱你,8.4,22,0,13726
南华曲,9.8,130,0,275177
好项目烂团队,9.2,113,3.99,33189
从二而终,9.2,28,0,67639
当我看向你的世界,9.6,76,0,235288
一路上有你,0,0,0.00,1610
明明喜欢你,8.8,232,1.99,42161
和鸾雍雍,8.8,67,0.00,13818
我们的5次求婚,9.2,39,0.00,16272
相见欢,8.8,69,0.00,9021
东京只有我和你,0,0,0,2835
花落随,7.2,12,0.00,3535
漫漫知何处,0,0,0,3065
在等的人,8.8,54,4.99,8183
那些在动物园里找对象的日子,9.4,368,0,764275
别说我嫁不出去,0,0,0,3008
小妇人（下部 · 大结局）,0,0,0.00,232
念念,9.0,244,2.99,39082
一万种可能,8.4,40,1.99,3691
恶女阿希,9.6,145,0,625843
人人都爱青楼女,0,0,0,176
爱你不必煽情，走心就很动听,0,0,0.00,1764
我们为什么结婚,8.8,92,0,631515
血色天使,0,0,0.00,934
写故事的筝,9.8,147,0,645321
如果我先遇见你,8.8,367,3.99,98753
只爱这世上唯一的你,7.8,11,0.00,5396
半江瑟瑟半江红,0,0,0.00,708
天涯追梦人,9.6,32,0,160699
港岛之恋,8.4,1111,1.99,174219
两个人的晚餐,9.6,795,4.99,295014
不可触碰的温柔,8.4,34,3.99,2817
旗袍,8.2,194,0,33922
北京朝九晚五,0,0,1.99,1275
风火男孩,0,0,0,2359
满目伤城空念远,8.0,14,0,174620
灯火阑珊处,9.0,53,0,132573
恰年少,9.4,24,4.99,10898
北京不说话,9.2,15,2.99,6053
性格与慢性病,9.0,522,2.99,135544
怪味豆,0,0,0.00,1028
香港备胎,8.0,341,3.99,113825
男男男男男男！,8.0,347,1.99,44750
曼城的天空,9.4,80,3.99,11572
梦觉已向晚,0,0,0,21995
四重奏,9.4,41,4.99,10641
都是异乡人,8.6,41,0,111101
无策书店（ 修订版）,0,0,0.00,807
有爱我们床上谈,8.0,505,6.90,215395
樱朝之时想见你,0,0,0,27257
初夏与娜拉,8.4,28,0,3411
摇马郎,9.6,77,0,138189
不负卿,8.6,207,0,13241
柚子的36次相亲,7.2,91,0.00,3327
理想国,7.0,201,1.99,13661
对窗,7.8,813,1.99,41985
敏娜之爱,0,0,0,165
他点火的方式,7.8,45,3.99,18661
谈不了恋爱的B小姐,8.4,111,2.99,2.99,33845
曹有钱的没落,0,0,0,1549
风花,9.2,83,3.99,24199
何生眉间案,0,0,0,7015
隐形爱人,0,0,4.99,3710
女子恋爱图鉴,8.0,110,1.99,20682
咫尺天涯,7.4,12,3.99,2385
旅途中，我遇见了亲爱的你,9.2,42,3.99,3.99,13584
搭伙,8.8,49,1.99,6211
与我相爱的99个男人,7.8,14,0,8355
乡绅,0,0,0.00,18
破茧,8.2,162,1.99,20046
我三十八岁的做作,7.8,479,3.99,131798
海上旧事,8.4,24,4.99,3241
谢谢你的海,7.8,166,1.99,14279
情外,0,0,1.99,3056
一生一次,8.0,40,4.99,17053
犹如夏莲,0,0,0.00,5561
所有她想要的,6.8,181,0,43795
在水一方,7.4,343,0,11530
只想吸引你,0,0,0,134
爱恨都已倾城,0,0,0,597
重逢是最好的告别,8.6,417,0,53146
时风止,0,0,0,517
就这样，我们杀死了爱情,9.0,63,7.99,28455
寂寞星途,0,0,0,56
择偶条件,0,0,0,158
颤抖的叶子,9.2,69,5.99,19822
婚事,8.0,146,0,20335
相爱的人，没有悲伤,7.8,12,0.00,1655
人性如此,0,0,0,90
以爱之名,0,0,0,129
情至深处,8.6,39,1.99,1.99,15032
延禧外传,0,0,0,111
景慕桑榆,0,0,0,17
我知你在念我,0,0,0,7
前生约,8.4,42,1.99,4001
小妇人（下部 · 第一卷）,0,0,2.99,493
蟠龙镇,8.4,14,1.99,3509
冬尽春生.曙光,6.8,45,1.99,13086
茉莉,7.4,21,1.99,1034
小妇人（下部 · 第二卷）,0,0,3.99,276
给我一个永恒的谎言,8.2,2104,1.99,151959
友情,8.4,225,0.99,10242
那你唱个歌给我听,0,0,1.99,891
夏日昏因,8.4,59,2.99,20613
美人痣,0,0,1.99,170
昆虫小姐,8.0,421,0.42,0.42,12731
落花时节又逢君,0,0,0,137
为你，一念天堂,6.8,26,1.99,2469
薄幸街,9.0,44,1.99,4434
越来越西,0,0,0,362
斯德哥尔摩情法,7.0,141,1.99,16442
随风飘,0,0,0,242
月凉如水,0,0,0.99,1178
碧落青霄引,0,0,0,4119
初晴 修订版,0,0,2.99,897
悦己者容,0,0,1.99,976
无法为妻,0,0,0,77
雪女,8.8,40,1.99,3161
世间女孩儿,0,0,0,862
璀璨,0,0,0,2155
秘密,8.4,18,0,262451
我们一起的闲聊时光,0,0,0,481
对不起，我就是想和你在一起,0,0,0,74
你爱我吗？,0,0,0,113
以后别做朋友,0,0,0,63
非典型爱恋,0,0,0,30
选择,7.6,181,0,3201
恋爱的青苔,0,0,0,1291
上言加餐饭，下言长相忆,7.8,34,1.99,5144
她叫游小鱼,0,0,1.99,177
十年，梦一场,8.0,396,1.99,65159
左佳佳的向上人生路,6.6,444,1.99,38598
圈,9.0,19,2.99,3074
米诺,0,0,0,18
十一年,0,0,2.99,3693
光芒,9.4,29,0,72660
荒唐,7.2,18,1.99,2353
亲爱的比熊(我在等你爱上我),0,0,0,623
台儿庄爱情故事,0,0,2.99,437
追风筝的人,0,0,0,66
在纽约,8.4,74,1.99,9254
一场游戏两场梦,7.2,55,1.99,5998
芝城故事,7.8,260,1.99,13785
名媛你好,0,0,0,33186
难以抗拒你容颜,0,0,0,17
饮茶记,0,0,0,13
时光留殇,0,0,0,2
暗涌,0,0,0,736
黛西,8.4,41,1.99,3762
飞飞,7.2,230,1.99,5541
惊鸿浮梦记,0,0,0,3469
花斑母牛,0,0,1.99,157
《红糖夏天》,0,0,0,69
我见过一场海啸,6.4,389,1.99,31919
苍白声部,8.4,58,0,19162
时光不说我爱你,0,0,0,11
夜色斑斓,6.4,116,1.99,8159
湘江绝恋,0,0,0,311
藏爱,0,0,1.99,126
走过岁月，我要找到你,0,0,0,34
切片,7.2,91,1.99,4015
青爱,7.6,30,1.99,2667
戒烟的猫,8.6,33,1.99,5004
宅女的恋爱可能,0,0,0,39
幽冥录,0,0,0,72
我在等你，全世界都知道,0,0,0,8
俗世男女,7.4,11,3.99,2884
网,0,0,1.99,947
陌上幽州,0,0,0,346
应该结婚的女孩,5.2,67,0.10,0.10,1247
忘记是一场忧伤的旅行,0,0,0.00,900
主妇琳达·肖,7.8,50,1.99,4084
人间烟火,0,0,1.99,78
年年红药为谁生,0,0,0,11
柏林恋人,7.6,173,1.99,24147
如烟如言,0,0,0,4800
路过你的青春和远方,8.4,56,0,31201
一个女人的765封信,0,0,0,5
世纪初的华丽,7.2,12,1.99,2239
正逢冬,0,0,0,27
再见风花雪月,0,0,0,26
漂亮的朋友,7.0,87,1.99,6291
1.99,3742242512192071831872263239
无巧不成书,0,0,1.99,1188
严肃的高跟鞋第二部,0,0,0,12021
阿拉莫,0,0,4.99,1595
第二个恋人,8.0,15,0,1213
迟到,0,0,1.99,100
后生长时期的爱情,7.2,35,1.99,6194
芮,9.2,30,0,159748
蓝璃之恋,0,0,0,48
