岛上七个未解之谜,7.6,14,1.99,1614
人间,0,0,0.00,1066
记林静华的日本高中生活,8.8,587,2.99,126116
我们都一样孤独无依,8.8,984,4.99,202755
天空之城,7.8,20,4.99,3841
茉生,9.2,206,0.00,45536
勇闯天涯,8.8,348,0,33096
生命中的一年,9.0,73,0.00,12385
生瓜,7.8,36,5.99,12867
青青陌上桑,0,0,0.00,3121
路过你的青春和远方,9.0,65,0.00,20853
男友说我得了抑郁症,8.4,521,0,831404
故事里的事,9.2,309,0,67095
九月火车,7.6,64,7.00,6261
那段时光,0,0,0.00,1767
总有迷路的胖子在阴影里虔诚地渴望明天,7.8,228,0.99,26764
耶鲁爱情故事,9.0,303,0,637878
游戏机往事,8.0,15,0.00,1504
狗背上的童年,0,0,3.99,923
杯嵩剧院,0,0,4.99,1234
笼中男孩,7.2,114,0,10731
那些花儿,0,0,4.99,1515
一个无所事事的男人,7.0,45,0.00,930
白日梦想家,0,0,0.00,366
那时我们这样恋爱,7.6,654,1.99,38666
林兆寒,8.4,17,4.99,8003
天蓝蓝,7.0,24,1.99,3152
小卡亲启,9.2,18,0.99,0.99,5358
古老的敌意,7.2,12,0.00,1148
东山再起,7.8,17,0.00,868
月见的岛屿,8.4,14,4.99,9937
胧月浮生,6.0,114,1.99,6487
我们踩着风,9.0,47,1.99,28826
时光如你,0,0,0,3416
少年阿珵,8.8,64,4.99,18196
成长的隐痛,8.6,66,1.99,9406
风动草的年华,0,0,1.99,1403
执著一泪落成书,0,0,0,183
不完美公路之旅,7.2,12,4.99,714
寻觅夜色的星空,7.6,16,0.00,1229
二十四桥明月夜,0,0,1.99,673
晦涩艰深的舌吻练习,0,0,1.99,478
骨头收藏家,7.8,67,1.99,2363
展翅高飞,0,0,4.99,2461
热天午夜,6.4,17,0.99,1116
可爱的木头 — 85后成长记,9.6,58,0,341036
学子的江湖,6.8,15,0.00,1641
来，坠落,7.8,23,0.00,3818
夜莺,0,0,4.99,1881
不止是阉割,9.2,84,0.00,30593
云胡不喜,7.2,31,1.99,4972
火烈鸟不语,8.0,14,0.99,423
那一年,0,0,1.99,1033
二十有八,0,0,0.10,0.10,257
再见，我们的六年,9.2,331,0,1813682
恰年少,9.4,45,0,391250
堕落,8.0,326,0,13840
西花园,0,0,1.33,1.33,398
青春，无须多言,8.4,273,0,55860
未转头时是梦,0,0,4.99,1243
三秋的夏天,9.4,56,4.99,13508
心生,0,0,1.99,639
你是年少的欢喜,0,0,1.99,363
粗糙的，敏感的，懦弱的,8.0,32,1.99,8071
垂死坚持,8.8,96,0,17147
理想,8.0,608,0,12113
寂静的声音,8.8,86,4.99,10794
少年阿亮自杀前夜的最后一封长信,0,0,2.99,924
爱情理论家,0,0,1.99,488
石头记,8.2,13,3.99,2216
陪你忘记我,8.0,48,5.99,26564
