秋日便当,8.6,700,1.99,114759
冬日便当,9.0,758,1.99,111817
中日之间：萌与硬——倭国时代的日本,0,0,0.00,252
我这一生,9.6,370,4.99,4.99,65298
宇宙奇趣全集,7.2,13,0.00,761
永远的丁丁与昨日世界,0,0,0.00,260
玩偶之家,9.2,115,2.99,16421
穿越大洋遇见你,8.8,216,3.99,100305
惹人思议（INCREDIBLE INDIA）,0,0,0.00,124
名字是令人发愁的东西,0,0,0,695
少女春心图鉴,8.2,14,0.00,1029
饭醉记录,8.8,921,1.99,65224
陈山农,9.6,861,2.99,33868
一个土肥圆男的画与哀愁（上）,0,0,0.00,375
黑色大门,9.4,83,2.99,12598
乡味缭绕,0,0,0.00,512
夏日便当·修订版,8.8,1238,1.99,176160
春秋战国：一段你应了解的历史（第一卷）,9.4,298,12.00,191806
单身,7.6,17,0.00,2637
白事会,9.0,6268,1.99,305935
剩唐（一）,9.4,417,1.99,79059
买农场就像找老婆,7.6,13,2.99,1230
一直走直到我遇见你,9.2,873,0,3316864
小雅群像,9.2,40,0,4781682
狐小月与羊大森 2,9.0,109,1.99,1744
京都第五年,8.8,2052,1.99,193167
女友调教手册（修订版）,7.8,558,1.99,89831
你不许变心,8.2,23,0.99,0.99,1740
诸神记,8.2,457,1.99,47418
高棉的微笑：吴哥传奇,8.0,27,4.99,10361
窗前流水枕前书,0,0,0.00,1429
中日之间：蒙元逆袭日本,0,0,0.00,663
9.4,406,6.99,39817352533362812844908788477817746570377113
春日便当,9.0,812,1.99,116690
论文艺女青年如何培养女王气场,7.0,1279,1.99,145233
教自己写作,9.2,71,0,91598
7天治愈拖延症,7.8,2164,5.00,363463
加拿大的面子和里子,0,0,0.00,1360
中日之间：日本朝贡之路与大明朝倭患,0,0,0.00,390
大好河山可骑驴,8.8,780,6.99,105942
狐小月与羊大森,9.0,145,1.99,3628
旅行故事,8.6,862,1.99,63889
等我胖了再揍你,7.6,481,0,29288
旁观因果,9.4,849,2.99,33726
勘破封神,7.8,15,5.00,3580
三天学会写歌,7.0,238,0.99,62507
迷踪写作教室：从零开始写小说,9.6,108,0,126809
橄榄核微雕作品创作实例教程,0,0,0.00,170
所谓青春，浪费一年又何妨,9.2,614,2.99,103274
一课经济学,8.6,432,0,108587
